gene	ID	chr	start	end	discription
GALNT5	ENSG00000136542	2	158114110	158170723	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 5 (GalNAc-T5) 
ERMN	ENSG00000136541	2	158175137	158184225	ermin, ERM-like protein 
CYTIP	ENSG00000115165	2	158271131	158345473	cytohesin 1 interacting protein 
ACVR1C	ENSG00000123612	2	158388888	158485517	activin A receptor, type IC 
ACVR1	ENSG00000115170	2	158592958	158732374	activin A receptor, type I 
UPP2	ENSG00000007001	2	158733214	158992666	uridine phosphorylase 2 
CCDC148	ENSG00000153237	2	159027593	159313265	coiled-coil domain containing 148 
PKP4	ENSG00000144283	2	159313476	159539391	plakophilin 4 
DAPL1	ENSG00000163331	2	159651829	159719293	death associated protein-like 1 
TANC1	ENSG00000115183	2	159825146	160089170	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1 
WDSUB1	ENSG00000196151	2	160092304	160143310	WD repeat, sterile alpha motif and U-box domain containing 1 
BAZ2B	ENSG00000123636	2	160175490	160473203	bromodomain adjacent to zinc finger domain, 2B 
MARCH7	ENSG00000136536	2	160569000	160625359	membrane-associated ring finger (C3HC4) 7, E3 ubiquitin protein ligase 
CD302	ENSG00000241399	2	160625364	160654753	CD302 molecule 
LY75-CD302	ENSG00000248672	2	160628362	160761221	LY75-CD302 readthrough 
LY75	ENSG00000054219	2	160628362	160761260	lymphocyte antigen 75 
PLA2R1	ENSG00000153246	2	160788519	160919121	phospholipase A2 receptor 1, 180kDa 
ITGB6	ENSG00000115221	2	160956177	161128399	integrin, beta 6 
RBMS1	ENSG00000153250	2	161128662	161350305	RNA binding motif, single stranded interacting protein 1 
TANK	ENSG00000136560	2	161993419	162092732	TRAF family member-associated NFKB activator 
PSMD14	ENSG00000115233	2	162164549	162268228	proteasome (prosome, macropain) 26S subunit, non-ATPase, 14 
TBR1	ENSG00000136535	2	162272605	162282381	T-box, brain, 1 
SLC4A10	ENSG00000144290	2	162480845	162841792	solute carrier family 4, sodium bicarbonate transporter, member 10 
DPP4	ENSG00000197635	2	162848751	162931052	dipeptidyl-peptidase 4 
GCG	ENSG00000115263	2	162999392	163008914	glucagon 
FAP	ENSG00000078098	2	163027194	163101661	fibroblast activation protein, alpha 
IFIH1	ENSG00000115267	2	163123589	163175213	interferon induced with helicase C domain 1 
GCA	ENSG00000115271	2	163175350	163228105	grancalcin, EF-hand calcium binding protein 
KCNH7	ENSG00000184611	2	163227917	163695240	potassium voltage-gated channel, subfamily H (eag-related), member 7 
FIGN	ENSG00000182263	2	164449906	164592522	fidgetin 
GRB14	ENSG00000115290	2	165349322	165478358	growth factor receptor-bound protein 14 
COBLL1	ENSG00000082438	2	165510134	165700189	cordon-bleu WH2 repeat protein-like 1 
SLC38A11	ENSG00000169507	2	165752696	165812035	solute carrier family 38, member 11 
SCN3A	ENSG00000153253	2	165944032	166060577	sodium channel, voltage-gated, type III, alpha subunit 
SCN2A	ENSG00000136531	2	166095912	166248818	sodium channel, voltage-gated, type II, alpha subunit 
CSRNP3	ENSG00000178662	2	166326157	166545917	cysteine-serine-rich nuclear protein 3 
GALNT3	ENSG00000115339	2	166604101	166651192	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 (GalNAc-T3) 
TTC21B	ENSG00000123607	2	166713985	166810353	tetratricopeptide repeat domain 21B 
SCN1A	ENSG00000144285	2	166845670	166984523	sodium channel, voltage-gated, type I, alpha subunit 
SCN9A	ENSG00000169432	2	167051695	167232503	sodium channel, voltage-gated, type IX, alpha subunit 
SCN7A	ENSG00000136546	2	167260083	167350757	sodium channel, voltage-gated, type VII, alpha subunit 
XIRP2	ENSG00000163092	2	167744997	168116263	xin actin-binding repeat containing 2 
B3GALT1	ENSG00000172318	2	168675182	168727366	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 1 
STK39	ENSG00000198648	2	168810530	169104651	serine threonine kinase 39 
CERS6	ENSG00000172292	2	169312372	169631644	ceramide synthase 6 
NOSTRIN	ENSG00000163072	2	169643049	169722024	nitric oxide synthase trafficker 
SPC25	ENSG00000152253	2	169690642	169769881	SPC25, NDC80 kinetochore complex component 
G6PC2	ENSG00000152254	2	169757750	169766505	glucose-6-phosphatase, catalytic, 2 
ABCB11	ENSG00000073734	2	169779448	169887832	ATP-binding cassette, sub-family B (MDR/TAP), member 11 
DHRS9	ENSG00000073737	2	169921299	169952677	dehydrogenase/reductase (SDR family) member 9 
LRP2	ENSG00000081479	2	169983619	170219195	low density lipoprotein receptor-related protein 2 
BBS5	ENSG00000163093	2	170335688	170382432	Bardet-Biedl syndrome 5 
KLHL41	ENSG00000239474	2	170366212	170382772	kelch-like family member 41 
FASTKD1	ENSG00000138399	2	170386259	170430385	FAST kinase domains 1 
PPIG	ENSG00000138398	2	170440850	170497916	peptidylprolyl isomerase G (cyclophilin G) 
CCDC173	ENSG00000154479	2	170501935	170550943	coiled-coil domain containing 173 
PHOSPHO2	ENSG00000144362	2	170550975	170558218	phosphatase, orphan 2 
KLHL23	ENSG00000213160	2	170550998	170633499	kelch-like family member 23 
SSB	ENSG00000138385	2	170648443	170668574	Sjogren syndrome antigen B (autoantigen La) 
METTL5	ENSG00000138382	2	170666591	170681441	methyltransferase like 5 
UBR3	ENSG00000144357	2	170683968	170940641	ubiquitin protein ligase E3 component n-recognin 3 (putative) 
MYO3B	ENSG00000071909	2	171034655	171511681	myosin IIIB 
SP5	ENSG00000204335	2	171571861	171574588	Sp5 transcription factor 
ERICH2	ENSG00000204334	2	171640296	171655481	glutamate-rich 2 
GAD1	ENSG00000128683	2	171669723	171717661	glutamate decarboxylase 1 (brain, 67kDa) 
GORASP2	ENSG00000115806	2	171784974	171823639	golgi reassembly stacking protein 2, 55kDa 
TLK1	ENSG00000198586	2	171847333	172087824	tousled-like kinase 1 
METTL8	ENSG00000123600	2	172179761	172291312	methyltransferase like 8 
DCAF17	ENSG00000115827	2	172290727	172341562	DDB1 and CUL4 associated factor 17 
CYBRD1	ENSG00000071967	2	172378757	172414643	cytochrome b reductase 1 
DYNC1I2	ENSG00000077380	2	172543919	172604930	dynein, cytoplasmic 1, intermediate chain 2 
SLC25A12	ENSG00000115840	2	172640880	172864766	solute carrier family 25 (aspartate/glutamate carrier), member 12 
HAT1	ENSG00000128708	2	172778958	172848599	histone acetyltransferase 1 
METAP1D	ENSG00000172878	2	172864490	172947158	methionyl aminopeptidase type 1D (mitochondrial) 
DLX1	ENSG00000144355	2	172949468	172954405	distal-less homeobox 1 
DLX2	ENSG00000115844	2	172964167	172967628	distal-less homeobox 2 
ITGA6	ENSG00000091409	2	173292082	173371181	integrin, alpha 6 
PDK1	ENSG00000152256	2	173420101	173489823	pyruvate dehydrogenase kinase, isozyme 1 
RAPGEF4	ENSG00000091428	2	173600002	173917621	Rap guanine nucleotide exchange factor (GEF) 4 
CDCA7	ENSG00000144354	2	174219548	174233725	cell division cycle associated 7 
SP3	ENSG00000172845	2	174771187	174830430	Sp3 transcription factor 
OLA1	ENSG00000138430	2	174937175	175113426	Obg-like ATPase 1 
SP9	ENSG00000217236	2	175199674	175203220	Sp9 transcription factor 
CIR1	ENSG00000138433	2	175212750	175260443	corepressor interacting with RBPJ, 1 
SCRN3	ENSG00000144306	2	175260458	175294303	secernin 3 
GPR155	ENSG00000163328	2	175296966	175351822	G protein-coupled receptor 155 
WIPF1	ENSG00000115935	2	175424300	175547644	WAS/WASL interacting protein family, member 1 
CHRNA1	ENSG00000138435	2	175612320	175629200	cholinergic receptor, nicotinic, alpha 1 (muscle) 
CHN1	ENSG00000128656	2	175664091	175870097	chimerin 1 
ATF2	ENSG00000115966	2	175936978	176033110	activating transcription factor 2 
ATP5G3	ENSG00000154518	2	176040986	176049335	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C3 (subunit 9) 
KIAA1715	ENSG00000144320	2	176788620	176867567	KIAA1715 
EVX2	ENSG00000174279	2	176942200	176948641	even-skipped homeobox 2 
HOXD13	ENSG00000128714	2	176957619	176960666	homeobox D13 
HOXD12	ENSG00000170178	2	176964458	176966408	homeobox D12 
HOXD11	ENSG00000128713	2	176968944	176974722	homeobox D11 
HOXD10	ENSG00000128710	2	176973518	176984670	homeobox D10 
HOXD9	ENSG00000128709	2	176987088	176989853	homeobox D9 
HOXD8	ENSG00000175879	2	176994422	176997423	homeobox D8 
HOXD3	ENSG00000128652	2	177001340	177037830	homeobox D3 
HOXD4	ENSG00000170166	2	177015950	177017954	homeobox D4 
HOXD1	ENSG00000128645	2	177053307	177055688	homeobox D1 
MTX2	ENSG00000128654	2	177134123	177202753	metaxin 2 
HNRNPA3	ENSG00000170144	2	178077291	178088686	heterogeneous nuclear ribonucleoprotein A3 
NFE2L2	ENSG00000116044	2	178092323	178257425	nuclear factor (erythroid-derived 2)-like 2 
AGPS	ENSG00000018510	2	178257372	178408564	alkylglycerone phosphate synthase 
TTC30B	ENSG00000196659	2	178414973	178417742	tetratricopeptide repeat domain 30B 
TTC30A	ENSG00000197557	2	178479026	178483694	tetratricopeptide repeat domain 30A 
PDE11A	ENSG00000128655	2	178492797	178973066	phosphodiesterase 11A 
RBM45	ENSG00000155636	2	178977151	179001531	RNA binding motif protein 45 
OSBPL6	ENSG00000079156	2	179059208	179264160	oxysterol binding protein-like 6 
PRKRA	ENSG00000180228	2	179296141	179316239	protein kinase, interferon-inducible double stranded RNA dependent activator 
DFNB59	ENSG00000204311	2	179316163	179326117	deafness, autosomal recessive 59 
FKBP7	ENSG00000079150	2	179328391	179343327	FK506 binding protein 7 
PLEKHA3	ENSG00000116095	2	179345195	179370093	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 3 
TTN	ENSG00000155657	2	179390716	179695529	titin 
CCDC141	ENSG00000163492	2	179694484	179914813	coiled-coil domain containing 141 
SESTD1	ENSG00000187231	2	179966419	180129517	SEC14 and spectrin domains 1 
ZNF385B	ENSG00000144331	2	180306709	180726232	zinc finger protein 385B 
CWC22	ENSG00000163510	2	180809603	180871840	CWC22 spliceosome-associated protein homolog (S. cerevisiae) 
UBE2E3	ENSG00000170035	2	181831975	181941312	ubiquitin-conjugating enzyme E2E 3 
ITGA4	ENSG00000115232	2	182321929	182400914	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor) 
CERKL	ENSG00000188452	2	182401403	182545392	ceramide kinase-like 
NEUROD1	ENSG00000162992	2	182537815	182545603	neuronal differentiation 1 
SSFA2	ENSG00000138434	2	182756560	182795465	sperm specific antigen 2 
PPP1R1C	ENSG00000150722	2	182818968	182996125	protein phosphatase 1, regulatory (inhibitor) subunit 1C 
PDE1A	ENSG00000115252	2	183004763	183387919	phosphodiesterase 1A, calmodulin-dependent 
DNAJC10	ENSG00000077232	2	183580999	183644334	DnaJ (Hsp40) homolog, subfamily C, member 10 
FRZB	ENSG00000162998	2	183698002	183731890	frizzled-related protein 
NCKAP1	ENSG00000061676	2	183789605	183903586	NCK-associated protein 1 
DUSP19	ENSG00000162999	2	183943287	183964733	dual specificity phosphatase 19 
NUP35	ENSG00000163002	2	183982241	184026408	nucleoporin 35kDa 
ZNF804A	ENSG00000170396	2	185463093	185804219	zinc finger protein 804A 
FSIP2	ENSG00000188738	2	186603355	186698017	fibrous sheath interacting protein 2 
ZC3H15	ENSG00000065548	2	187350883	187374090	zinc finger CCCH-type containing 15 
ITGAV	ENSG00000138448	2	187454792	187545628	integrin, alpha V 
FAM171B	ENSG00000144369	2	187558698	187630685	family with sequence similarity 171, member B 
ZSWIM2	ENSG00000163012	2	187692562	187713935	zinc finger, SWIM-type containing 2 
CALCRL	ENSG00000064989	2	188207856	188313187	calcitonin receptor-like 
TFPI	ENSG00000003436	2	188328957	188430487	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor) 
GULP1	ENSG00000144366	2	189156396	189460653	GULP, engulfment adaptor PTB domain containing 1 
DIRC1	ENSG00000174325	2	189598882	189654831	disrupted in renal carcinoma 1 
COL3A1	ENSG00000168542	2	189839046	189877472	collagen, type III, alpha 1 
COL5A2	ENSG00000204262	2	189896622	190044605	collagen, type V, alpha 2 
WDR75	ENSG00000115368	2	190306159	190340291	WD repeat domain 75 
SLC40A1	ENSG00000138449	2	190425305	190448484	solute carrier family 40 (iron-regulated transporter), member 1 
ASNSD1	ENSG00000138381	2	190526111	190535557	asparagine synthetase domain containing 1 
ANKAR	ENSG00000151687	2	190539016	190625919	ankyrin and armadillo repeat containing 
OSGEPL1	ENSG00000128694	2	190611386	190627953	O-sialoglycoprotein endopeptidase-like 1 
ORMDL1	ENSG00000128699	2	190635049	190649097	ORM1-like 1 (S. cerevisiae) 
PMS1	ENSG00000064933	2	190649107	190742355	PMS1 postmeiotic segregation increased 1 (S. cerevisiae) 
C2orf88	ENSG00000187699	2	190744335	191068210	chromosome 2 open reading frame 88 
MSTN	ENSG00000138379	2	190920423	190927455	myostatin 
HIBCH	ENSG00000198130	2	191054461	191208919	3-hydroxyisobutyryl-CoA hydrolase 
INPP1	ENSG00000151689	2	191208196	191236391	inositol polyphosphate-1-phosphatase 
MFSD6	ENSG00000151690	2	191273081	191373931	major facilitator superfamily domain containing 6 
TMEM194B	ENSG00000189362	2	191369068	191399448	transmembrane protein 194B 
NAB1	ENSG00000138386	2	191511472	191557492	NGFI-A binding protein 1 (EGR1 binding protein 1) 
GLS	ENSG00000115419	2	191745553	191830278	glutaminase 
STAT1	ENSG00000115415	2	191829084	191885686	signal transducer and activator of transcription 1, 91kDa 
STAT4	ENSG00000138378	2	191894302	192016322	signal transducer and activator of transcription 4 
MYO1B	ENSG00000128641	2	192109911	192290115	myosin IB 
NABP1	ENSG00000173559	2	192542794	192553251	nucleic acid binding protein 1 
SDPR	ENSG00000168497	2	192699028	192711981	serum deprivation response 
TMEFF2	ENSG00000144339	2	192813769	193060435	transmembrane protein with EGF-like and two follistatin-like domains 2 
SLC39A10	ENSG00000196950	2	196440701	196602426	solute carrier family 39 (zinc transporter), member 10 
DNAH7	ENSG00000118997	2	196602427	196933536	dynein, axonemal, heavy chain 7 
STK17B	ENSG00000081320	2	196998290	197041227	serine/threonine kinase 17b 
HECW2	ENSG00000138411	2	197063977	197458416	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2 
CCDC150	ENSG00000144395	2	197504278	197628214	coiled-coil domain containing 150 
GTF3C3	ENSG00000119041	2	197627756	197664449	general transcription factor IIIC, polypeptide 3, 102kDa 
C2orf66	ENSG00000187944	2	197669726	197675000	chromosome 2 open reading frame 66 
PGAP1	ENSG00000197121	2	197699908	197792520	post-GPI attachment to proteins 1 
ANKRD44	ENSG00000065413	2	197831741	198175897	ankyrin repeat domain 44 
SF3B1	ENSG00000115524	2	198256698	198299815	splicing factor 3b, subunit 1, 155kDa 
COQ10B	ENSG00000115520	2	198318147	198340032	coenzyme Q10 homolog B (S. cerevisiae) 
HSPD1	ENSG00000144381	2	198351305	198381461	heat shock 60kDa protein 1 (chaperonin) 
HSPE1	ENSG00000115541	2	198364718	198368181	heat shock 10kDa protein 1 (chaperonin 10) 
MOB4	ENSG00000115540	2	198380295	198418423	MOB family member 4, phocein 
RFTN2	ENSG00000162944	2	198435524	198540769	raftlin family member 2 
MARS2	ENSG00000247626	2	198570087	198573113	methionyl-tRNA synthetase 2, mitochondrial 
BOLL	ENSG00000152430	2	198591603	198651486	bol, boule-like (Drosophila) 
PLCL1	ENSG00000115896	2	198669426	199437305	phospholipase C-like 1 
SATB2	ENSG00000119042	2	200134223	200335989	SATB homeobox 2 
FTCDNL1	ENSG00000226124	2	200625267	200715896	formiminotransferase cyclodeaminase N-terminal like 
C2orf69	ENSG00000178074	2	200775979	200820658	chromosome 2 open reading frame 69 
TYW5	ENSG00000162971	2	200794698	200820459	tRNA-yW synthesizing protein 5 
C2orf47	ENSG00000162972	2	200820040	200873263	chromosome 2 open reading frame 47 
SPATS2L	ENSG00000196141	2	201170604	201343253	spermatogenesis associated, serine-rich 2-like 
KCTD18	ENSG00000155729	2	201353675	201384507	potassium channel tetramerization domain containing 18 
SGOL2	ENSG00000163535	2	201374731	201448505	shugoshin-like 2 (S. pombe) 
AOX1	ENSG00000138356	2	201450591	201541787	aldehyde oxidase 1 
BZW1	ENSG00000082153	2	201675317	201688569	basic leucine zipper and W2 domains 1 
CLK1	ENSG00000013441	2	201717732	201729422	CDC-like kinase 1 
PPIL3	ENSG00000240344	2	201735630	201754026	peptidylprolyl isomerase (cyclophilin)-like 3 
NIF3L1	ENSG00000196290	2	201754050	201768655	NIF3 NGG1 interacting factor 3-like 1 (S. cerevisiae) 
ORC2	ENSG00000115942	2	201773696	201828403	origin recognition complex, subunit 2 
FAM126B	ENSG00000155744	2	201843216	201936394	family with sequence similarity 126, member B 
NDUFB3	ENSG00000119013	2	201936156	201950473	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 3, 12kDa 
CFLAR	ENSG00000003402	2	201980827	202029033	CASP8 and FADD-like apoptosis regulator 
CASP10	ENSG00000003400	2	202047604	202094129	caspase 10, apoptosis-related cysteine peptidase 
CASP8	ENSG00000064012	2	202098166	202152434	caspase 8, apoptosis-related cysteine peptidase 
ALS2CR12	ENSG00000155749	2	202152994	202222121	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 12 
TRAK2	ENSG00000115993	2	202241930	202316302	trafficking protein, kinesin binding 2 
STRADB	ENSG00000082146	2	202252581	202345569	STE20-related kinase adaptor beta 
ALS2CR11	ENSG00000155754	2	202352148	202483901	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 11 
TMEM237	ENSG00000155755	2	202484907	202508293	transmembrane protein 237 
MPP4	ENSG00000082126	2	202509593	202563417	membrane protein, palmitoylated 4 (MAGUK p55 subfamily member 4) 
ALS2	ENSG00000003393	2	202565277	202645912	amyotrophic lateral sclerosis 2 (juvenile) 
CDK15	ENSG00000138395	2	202655184	202760273	cyclin-dependent kinase 15 
FZD7	ENSG00000155760	2	202899310	202903160	frizzled family receptor 7 
SUMO1	ENSG00000116030	2	203070903	203103331	small ubiquitin-like modifier 1 
NOP58	ENSG00000055044	2	203130439	203168389	NOP58 ribonucleoprotein 
BMPR2	ENSG00000204217	2	203241659	203432474	bone morphogenetic protein receptor, type II (serine/threonine kinase) 
FAM117B	ENSG00000138439	2	203499901	203634480	family with sequence similarity 117, member B 
ICA1L	ENSG00000163596	2	203640690	203736708	islet cell autoantigen 1,69kDa-like 
WDR12	ENSG00000138442	2	203745323	203879521	WD repeat domain 12 
CARF	ENSG00000138380	2	203776937	203851060	calcium responsive transcription factor 
NBEAL1	ENSG00000144426	2	203879602	204091101	neurobeachin-like 1 
CYP20A1	ENSG00000119004	2	204103663	204163009	cytochrome P450, family 20, subfamily A, polypeptide 1 
ABI2	ENSG00000138443	2	204192942	204301606	abl-interactor 2 
RAPH1	ENSG00000173166	2	204259068	204400133	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1 
CD28	ENSG00000178562	2	204571198	204602557	CD28 molecule 
CTLA4	ENSG00000163599	2	204732509	204738683	cytotoxic T-lymphocyte-associated protein 4 
ICOS	ENSG00000163600	2	204801471	204826300	inducible T-cell co-stimulator 
PARD3B	ENSG00000116117	2	205410516	206484886	par-3 partitioning defective 3 homolog B (C. elegans) 
NRP2	ENSG00000118257	2	206546714	206662857	neuropilin 2 
INO80D	ENSG00000114933	2	206858445	206951027	INO80 complex subunit D 
NDUFS1	ENSG00000023228	2	206986149	207024327	NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase) 
EEF1B2	ENSG00000114942	2	207024309	207027652	eukaryotic translation elongation factor 1 beta 2 
GPR1	ENSG00000183671	2	207040040	207082771	G protein-coupled receptor 1 
ZDBF2	ENSG00000204186	2	207139387	207179148	zinc finger, DBF-type containing 2 
ADAM23	ENSG00000114948	2	207308263	207485851	ADAM metallopeptidase domain 23 
DYTN	ENSG00000232125	2	207516345	207583120	dystrotelin 
MDH1B	ENSG00000138400	2	207602487	207630271	malate dehydrogenase 1B, NAD (soluble) 
FASTKD2	ENSG00000118246	2	207630081	207657233	FAST kinase domains 2 
CPO	ENSG00000144410	2	207804278	207834198	carboxypeptidase O 
KLF7	ENSG00000118263	2	207938861	208031991	Kruppel-like factor 7 (ubiquitous) 
CREB1	ENSG00000118260	2	208394461	208468155	cAMP responsive element binding protein 1 
METTL21A	ENSG00000144401	2	208445355	208490652	methyltransferase like 21A 
CCNYL1	ENSG00000163249	2	208576264	208626563	cyclin Y-like 1 
FZD5	ENSG00000163251	2	208627310	208634287	frizzled family receptor 5 
PLEKHM3	ENSG00000178385	2	208693027	208890284	pleckstrin homology domain containing, family M, member 3 
CRYGD	ENSG00000118231	2	208986331	208989225	crystallin, gamma D 
CRYGC	ENSG00000163254	2	208992861	208994554	crystallin, gamma C 
CRYGB	ENSG00000182187	2	209007297	209010892	crystallin, gamma B 
CRYGA	ENSG00000168582	2	209025464	209028300	crystallin, gamma A 
C2orf80	ENSG00000188674	2	209030067	209054797	chromosome 2 open reading frame 80 
IDH1	ENSG00000138413	2	209100951	209130798	isocitrate dehydrogenase 1 (NADP+), soluble 
PIKFYVE	ENSG00000115020	2	209130991	209223475	phosphoinositide kinase, FYVE finger containing 
PTH2R	ENSG00000144407	2	209224438	209719227	parathyroid hormone 2 receptor 
MAP2	ENSG00000078018	2	210288782	210598842	microtubule-associated protein 2 
UNC80	ENSG00000144406	2	210636717	210864024	unc-80 homolog (C. elegans) 
RPE	ENSG00000197713	2	210867289	210886300	ribulose-5-phosphate-3-epimerase 
KANSL1L	ENSG00000144445	2	210886147	211036107	KAT8 regulatory NSL complex subunit 1-like 
ACADL	ENSG00000115361	2	211052663	211090215	acyl-CoA dehydrogenase, long chain 
MYL1	ENSG00000168530	2	211154874	211179914	myosin, light chain 1, alkali; skeletal, fast 
LANCL1	ENSG00000115365	2	211295973	211342376	LanC lantibiotic synthetase component C-like 1 (bacterial) 
CPS1	ENSG00000021826	2	211342406	211543831	carbamoyl-phosphate synthase 1, mitochondrial 
ERBB4	ENSG00000178568	2	212240446	213403565	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4 
IKZF2	ENSG00000030419	2	213864429	214017151	IKAROS family zinc finger 2 (Helios) 
SPAG16	ENSG00000144451	2	214149113	215275225	sperm associated antigen 16 
VWC2L	ENSG00000174453	2	215275789	215443683	von Willebrand factor C domain containing protein 2-like 
BARD1	ENSG00000138376	2	215590370	215674428	BRCA1 associated RING domain 1 
ABCA12	ENSG00000144452	2	215796266	216003151	ATP-binding cassette, sub-family A (ABC1), member 12 
ATIC	ENSG00000138363	2	216176540	216214487	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase 
FN1	ENSG00000115414	2	216225163	216300895	fibronectin 1 
MREG	ENSG00000118242	2	216809213	216898819	melanoregulin 
PECR	ENSG00000115425	2	216861052	216947678	peroxisomal trans-2-enoyl-CoA reductase 
TMEM169	ENSG00000163449	2	216946589	216967506	transmembrane protein 169 
XRCC5	ENSG00000079246	2	216972187	217071026	X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining) 
MARCH4	ENSG00000144583	2	217122588	217236750	membrane-associated ring finger (C3HC4) 4, E3 ubiquitin protein ligase 
SMARCAL1	ENSG00000138375	2	217277137	217347776	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a-like 1 
RPL37A	ENSG00000197756	2	217362912	217443903	ribosomal protein L37a 
IGFBP2	ENSG00000115457	2	217497551	217529159	insulin-like growth factor binding protein 2, 36kDa 
IGFBP5	ENSG00000115461	2	217536828	217560248	insulin-like growth factor binding protein 5 
TNP1	ENSG00000118245	2	217724181	217724787	transition protein 1 (during histone to protamine replacement) 
DIRC3	ENSG00000231672	2	218148742	218621316	disrupted in renal carcinoma 3 
TNS1	ENSG00000079308	2	218664512	218867718	tensin 1 
RUFY4	ENSG00000188282	2	218899683	218955304	RUN and FYVE domain containing 4 
CXCR2	ENSG00000180871	2	218990012	219001976	chemokine (C-X-C motif) receptor 2 
CXCR1	ENSG00000163464	2	219027568	219031718	chemokine (C-X-C motif) receptor 1 
ARPC2	ENSG00000163466	2	219081817	219119079	actin related protein 2/3 complex, subunit 2, 34kDa 
GPBAR1	ENSG00000179921	2	219124219	219128582	G protein-coupled bile acid receptor 1 
AAMP	ENSG00000127837	2	219128850	219134980	angio-associated, migratory cell protein 
PNKD	ENSG00000127838	2	219135115	219211516	paroxysmal nonkinesigenic dyskinesia 
TMBIM1	ENSG00000135926	2	219138915	219157309	transmembrane BAX inhibitor motif containing 1 
C2orf62	ENSG00000158428	2	219221579	219232822	chromosome 2 open reading frame 62 
SLC11A1	ENSG00000018280	2	219246752	219261617	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1 
CTDSP1	ENSG00000144579	2	219262979	219270664	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1 
VIL1	ENSG00000127831	2	219283815	219318018	villin 1 
USP37	ENSG00000135913	2	219314974	219433084	ubiquitin specific peptidase 37 
RQCD1	ENSG00000144580	2	219433303	219461803	RCD1 required for cell differentiation1 homolog (S. pombe) 
PLCD4	ENSG00000115556	2	219472488	219501907	phospholipase C, delta 4 
ZNF142	ENSG00000115568	2	219502639	219524378	zinc finger protein 142 
BCS1L	ENSG00000074582	2	219523487	219528166	BC1 (ubiquinol-cytochrome c reductase) synthesis-like 
RNF25	ENSG00000163481	2	219528587	219537134	ring finger protein 25 
STK36	ENSG00000163482	2	219536749	219567439	serine/threonine kinase 36 
TTLL4	ENSG00000135912	2	219575568	219620139	tubulin tyrosine ligase-like family, member 4 
CYP27A1	ENSG00000135929	2	219646472	219680016	cytochrome P450, family 27, subfamily A, polypeptide 1 
PRKAG3	ENSG00000115592	2	219687106	219696809	protein kinase, AMP-activated, gamma 3 non-catalytic subunit 
WNT6	ENSG00000115596	2	219724544	219738955	wingless-type MMTV integration site family, member 6 
WNT10A	ENSG00000135925	2	219745085	219764303	wingless-type MMTV integration site family, member 10A 
CDK5R2	ENSG00000171450	2	219824377	219826876	cyclin-dependent kinase 5, regulatory subunit 2 (p39) 
FEV	ENSG00000163497	2	219845809	219850379	FEV (ETS oncogene family) 
CRYBA2	ENSG00000163499	2	219854911	219858143	crystallin, beta A2 
CCDC108	ENSG00000181378	2	219867568	219906249	coiled-coil domain containing 108 
IHH	ENSG00000163501	2	219919146	219925189	indian hedgehog 
NHEJ1	ENSG00000187736	2	219940039	220025587	nonhomologous end-joining factor 1 
SLC23A3	ENSG00000213901	2	219940051	220035549	solute carrier family 23 (nucleobase transporters), member 3 
CNPPD1	ENSG00000115649	2	220036619	220042828	cyclin Pas1/PHO80 domain containing 1 
FAM134A	ENSG00000144567	2	220040947	220050201	family with sequence similarity 134, member A 
ZFAND2B	ENSG00000158552	2	220059959	220074373	zinc finger, AN1-type domain 2B 
ABCB6	ENSG00000115657	2	220074490	220083712	ATP-binding cassette, sub-family B (MDR/TAP), member 6 
ATG9A	ENSG00000198925	2	220074494	220094439	autophagy related 9A 
ANKZF1	ENSG00000163516	2	220094479	220101391	ankyrin repeat and zinc finger domain containing 1 
GLB1L	ENSG00000163521	2	220101328	220110200	galactosidase, beta 1-like 
STK16	ENSG00000115661	2	220110177	220115059	serine/threonine kinase 16 
TUBA4A	ENSG00000127824	2	220114433	220142892	tubulin, alpha 4a 
DNAJB2	ENSG00000135924	2	220143989	220151622	DnaJ (Hsp40) homolog, subfamily B, member 2 
PTPRN	ENSG00000054356	2	220154345	220174370	protein tyrosine phosphatase, receptor type, N 
RESP18	ENSG00000182698	2	220192131	220197899	regulated endocrine-specific protein 18 
